Disease,Definition
Fungal infection,"Fungal infection is a common skin condition caused by fungi. A fungal infection, also called mycosis, is a disease caused by a fungus. Common fungal infections include athlete's foot, jock itch, ringworm, and yeast infections. These infections can affect the skin, nails, or lungs and can be itchy and uncomfortable."
Allergy,"Allergy is an immune system reaction to a substance in the environment. An allergy is a condition in which the immune system reacts abnormally to a foreign substance. These substances, such as pollen, dust, and certain foods, are usually harmless to most people. Symptoms can include sneezing, itching, and swelling."
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter. Gastroesophageal reflux disease (GERD) is a long-term digestive disorder where stomach acid frequently flows back into the tube connecting your mouth and stomach (esophagus). This backwash (acid reflux) can irritate the lining of your esophagus and cause heartburn.
Chronic cholestasis,"Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period. Chronic cholestasis is a condition where the flow of bile from the liver is reduced or blocked for an extended period. Bile is a digestive fluid that helps break down fats. When its flow is disrupted, it can lead to jaundice, itching, and liver damage."
Drug Reaction,"Drug Reaction occurs when the body reacts adversely to a medication. A drug reaction is an unwanted effect caused by the administration of drugs. This can range from mild side effects like nausea to severe allergic reactions such as rashes, swelling, or even anaphylaxis, which is a life-threatening condition."
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine. Peptic ulcer disease involves the development of open sores that form on the inside lining of your stomach and the upper part of your small intestine. The most common symptom is stomach pain. These ulcers can be caused by infection with Helicobacter pylori bacteria and long-term use of nonsteroidal anti-inflammatory drugs (NSAIDs).
AIDS,"AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system. Acquired Immunodeficiency Syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease. It is spread through contact with infected blood, semen, or vaginal fluids."
Diabetes,"Diabetes is a chronic condition that affects how the body processes blood sugar. Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Over time, having too much glucose in your blood can cause serious health problems, such as heart disease, nerve damage, eye problems, and kidney disease. There are two main types of diabetes: Type 1 and Type 2."
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria. Gastroenteritis, often called stomach flu, is an inflammation of the lining of the intestines caused by a virus, bacteria, or parasites. The most common symptoms are diarrhea, vomiting, and abdominal pain. It is usually spread through contaminated food or water."
Bronchial Asthma,"Bronchial Asthma is a respiratory condition characterized by inflammation of the airways. Bronchial asthma is a condition in which your airways narrow and swell and may produce extra mucus. This can make breathing difficult and trigger coughing, wheezing, and shortness of breath. Asthma can be triggered by allergens, exercise, cold air, or stress."
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition. Hypertension, commonly known as high blood pressure, is a condition in which the force of the blood against your artery walls is too high. Over time, high blood pressure can cause health problems, such as heart disease and stroke. It is often called the ""silent killer"" because it may not show symptoms for many years."
Migraine,"Migraine is a type of headache that often involves severe pain and sensitivity to light and sound. A migraine is a type of headache characterized by intense throbbing or pulsing pain in one area of the head. It is often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Some people experience warning symptoms known as aura before the headache."
Cervical spondylosis,"Cervical spondylosis is a degenerative condition of the cervical spine. Cervical spondylosis is age-related wear and tear affecting the spinal disks in your neck. It is a common condition that progresses with age, and it can cause chronic neck pain and stiffness. In severe cases, it can compress the spinal cord or nerve roots, leading to weakness in the arms and hands."
Paralysis (brain hemorrhage),"Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain. Paralysis due to brain hemorrhage occurs when a blood vessel in the brain bursts, causing bleeding inside the brain. This can disrupt normal brain function and result in the loss of muscle function in part of your body. It is a medical emergency that requires immediate attention."
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems. Jaundice is a condition in which the skin, whites of the eyes, and mucous membranes turn yellow because of a high level of bilirubin, a yellow-orange bile pigment. It is often a sign of liver disease or bile duct problems. Other symptoms may include dark urine and pale stools."
Malaria,"Malaria is a mosquito-borne infectious disease affecting humans and other animals. Malaria is a serious disease caused by a parasite that infects a type of mosquito which feeds on humans. The disease is transmitted through the bites of infected mosquitoes and causes symptoms such as fever, chills, and flu-like illness. Without treatment, it can lead to severe complications and death."
